puzzle_id,difficulty,empty_cells,time_ms,solved,correct,steps,backtracks
311,Extreme,49,5.728,True,True,49,0
312,Extreme,49,6.573,True,True,49,0
313,Extreme,49,7.655,True,True,49,0
314,Extreme,49,6.483,True,True,49,0
315,Extreme,49,7.729,True,True,49,0
316,Extreme,49,7.469,True,True,49,0
317,Extreme,49,4.754,True,True,49,0
318,Extreme,49,3.559,True,True,49,0
319,Extreme,49,3.563,True,True,49,0
320,Extreme,49,4.082,True,True,49,0
321,Extreme,49,5.099,True,True,49,0
322,Extreme,49,3.735,True,True,49,0
323,Extreme,49,6.661,True,True,49,0
324,Extreme,50,4.454,True,True,50,0
325,Extreme,49,4.558,True,True,49,0
326,Extreme,49,5.955,True,True,49,0
327,Extreme,49,9.964,True,True,49,0
328,Extreme,49,5.653,True,True,49,0
329,Extreme,49,8.913,True,True,49,0
330,Extreme,49,7.987,True,True,49,0
331,Extreme,49,5.651,True,True,49,0
332,Extreme,50,4.007,True,True,50,0
333,Extreme,49,7.315,True,True,49,0
334,Extreme,49,6.086,True,True,49,0
335,Extreme,49,23.42,True,True,49,0
336,Extreme,49,8.78,True,True,49,0
337,Extreme,49,4.842,True,True,49,0
338,Extreme,49,16.226,True,True,49,0
339,Extreme,49,16.991,True,True,49,0
340,Extreme,49,4.768,True,True,49,0
341,Extreme,49,6.023,True,True,49,0
342,Extreme,49,11.214,True,True,49,0
343,Extreme,49,9.474,True,True,49,0
344,Extreme,49,9.362,True,True,49,0
345,Extreme,50,7.055,True,True,50,0
346,Extreme,49,6.182,True,True,49,0
347,Extreme,49,8.002,True,True,49,0
348,Extreme,49,8.689,True,True,49,0
349,Extreme,49,10.108,True,True,49,0
350,Extreme,50,10.434,True,True,50,0
351,Extreme,49,12.03,True,True,49,0
352,Extreme,50,7.898,True,True,50,0
353,Extreme,49,7.03,True,True,49,0
354,Extreme,49,8.024,True,True,49,0
355,Extreme,50,8.098,True,True,50,0
356,Extreme,49,2.827,True,True,49,0
357,Extreme,49,4.422,True,True,49,0
358,Extreme,49,5.086,True,True,49,0
359,Extreme,49,11.647,True,True,49,0
360,Extreme,49,9.125,True,True,49,0
361,Extreme,49,2.933,True,True,49,0
362,Extreme,49,4.397,True,True,49,0
363,Extreme,49,5.493,True,True,49,0
364,Extreme,49,8.856,True,True,49,0
365,Extreme,49,7.447,True,True,49,0
366,Extreme,49,3.471,True,True,49,0
367,Extreme,49,2.604,True,True,49,0
368,Extreme,49,7.232,True,True,49,0
369,Extreme,49,7.495,True,True,49,0
370,Extreme,49,13.746,True,True,49,0
371,Extreme,49,10.782,True,True,49,0
372,Extreme,49,4.229,True,True,49,0
